EventID,NumberSourcesLeaking,LeakPointId,Latitude,Longitude,EmissionCategory,UTCStart,UTCEnd,Duration,LeakRate,BFT,tStart,tEnd
40,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:00:35.000000,2023-04-18_00:15:35.000000,900,36.63627,ReferenceMeteredEvent,1681776035,1681776935
40,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:00:35.000000,2023-04-18_00:15:35.000000,900,64.621765,ReferenceMeteredEvent,1681776035,1681776935
41,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_01:00:35.000000,2700,55.385376,ReferenceMeteredEvent,1681776935,1681779635
41,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_01:00:35.000000,2700,24.345577,ReferenceMeteredEvent,1681776935,1681779635
42,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_00:45:35.000000,1800,36.63627,ReferenceMeteredEvent,1681776935,1681778735
42,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_00:45:35.000000,1800,64.621765,ReferenceMeteredEvent,1681776935,1681778735
43,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:45:35.000000,2023-04-18_01:00:35.000000,900,36.63627,ReferenceMeteredEvent,1681778735,1681779635
43,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:45:35.000000,2023-04-18_01:00:35.000000,900,64.621765,ReferenceMeteredEvent,1681778735,1681779635
44,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_01:45:35.000000,2700,55.385376,ReferenceMeteredEvent,1681779635,1681782335
44,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_01:45:35.000000,2700,24.345577,ReferenceMeteredEvent,1681779635,1681782335
45,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_02:15:35.000000,4500,36.63627,ReferenceMeteredEvent,1681779635,1681784135
45,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_02:15:35.000000,4500,64.621765,ReferenceMeteredEvent,1681779635,1681784135
46,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_01:45:35.000000,2023-04-18_02:30:35.000000,2700,55.385376,ReferenceMeteredEvent,1681782335,1681785035
46,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_01:45:35.000000,2023-04-18_02:30:35.000000,2700,24.345577,ReferenceMeteredEvent,1681782335,1681785035
47,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_02:15:35.000000,2023-04-18_02:30:36.000000,901,36.63627,ReferenceMeteredEvent,1681784135,1681785036
47,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_02:15:35.000000,2023-04-18_02:30:36.000000,901,64.621765,ReferenceMeteredEvent,1681784135,1681785036
48,0,,,,,2023-04-18_02:30:35.000000,2023-04-18_05:30:39.000000,10804,0,ZeroEmissionEvent,1681785035,1681795839
49,0,,,,,2023-04-18_02:30:36.000000,2023-04-18_05:30:39.000000,10803,0,ZeroEmissionEvent,1681785036,1681795839
50,1,4S-21,40.595665,-105.14027,Pre Test,2023-04-18_05:30:39.000000,2023-04-18_05:33:39.000000,180,34.454098,CurrentMeteredEvent,1681795839,1681796019
51,1,4T-11,40.59575,-105.13989,Pre Test,2023-04-18_05:30:39.000000,2023-04-18_05:33:39.000000,180,69.05279,CurrentMeteredEvent,1681795839,1681796019
53,0,,,,,2023-04-18_05:33:39.000000,2023-04-18_05:34:39.000000,60,0,ZeroEmissionEvent,1681796019,1681796079
52,0,,,,,2023-04-18_05:33:39.000000,2023-04-18_05:41:39.000000,480,0,ZeroEmissionEvent,1681796019,1681796499
54,1,5S-32,40.595943,-105.13943,Pre Test,2023-04-18_05:34:39.000000,2023-04-18_05:37:38.000000,179,56.364502,CurrentMeteredEvent,1681796079,1681796258
55,0,,,,,2023-04-18_05:37:38.000000,2023-04-18_05:38:38.000000,60,0,ZeroEmissionEvent,1681796258,1681796318
56,1,5W-13,40.595615,-105.13942,Pre Test,2023-04-18_05:38:38.000000,2023-04-18_05:41:38.000000,180,98.83237,CurrentMeteredEvent,1681796318,1681796498
57,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_05:41:38.000000,2023-04-18_06:26:38.000000,2700,69.05279,ReferenceMeteredEvent,1681796498,1681799198
57,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_05:41:38.000000,2023-04-18_06:26:38.000000,2700,98.83237,ReferenceMeteredEvent,1681796498,1681799198
57,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_05:41:38.000000,2023-04-18_06:26:38.000000,2700,56.364502,ReferenceMeteredEvent,1681796498,1681799198
58,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_05:41:39.000000,2023-04-18_05:56:38.000000,899,34.23236,CurrentMeteredEvent,1681796499,1681797398
59,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_05:56:38.000000,2023-04-18_06:41:38.000000,2700,34.41489,CurrentMeteredEvent,1681797398,1681800098
60,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_06:26:38.000000,2023-04-18_06:41:39.000000,901,69.05279,ReferenceMeteredEvent,1681799198,1681800099
60,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_06:26:38.000000,2023-04-18_06:41:39.000000,901,98.83237,ReferenceMeteredEvent,1681799198,1681800099
60,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_06:26:38.000000,2023-04-18_06:41:39.000000,901,56.364502,ReferenceMeteredEvent,1681799198,1681800099
61,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_06:41:38.000000,2023-04-18_07:11:38.000000,1800,34.53511,CurrentMeteredEvent,1681800098,1681801898
62,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_06:41:39.000000,2023-04-18_06:56:38.000000,899,69.05279,ReferenceMeteredEvent,1681800099,1681800998
62,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_06:41:39.000000,2023-04-18_06:56:38.000000,899,98.83237,ReferenceMeteredEvent,1681800099,1681800998
62,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_06:41:39.000000,2023-04-18_06:56:38.000000,899,56.364502,ReferenceMeteredEvent,1681800099,1681800998
63,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_06:56:38.000000,2023-04-18_07:11:39.000000,901,69.05279,ReferenceMeteredEvent,1681800998,1681801899
63,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_06:56:38.000000,2023-04-18_07:11:39.000000,901,98.83237,ReferenceMeteredEvent,1681800998,1681801899
63,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_06:56:38.000000,2023-04-18_07:11:39.000000,901,56.364502,ReferenceMeteredEvent,1681800998,1681801899
64,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_07:11:38.000000,2023-04-18_07:26:38.000000,900,34.599392,CurrentMeteredEvent,1681801898,1681802798
65,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_07:11:39.000000,2023-04-18_07:26:39.000000,900,69.05279,ReferenceMeteredEvent,1681801899,1681802799
65,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_07:11:39.000000,2023-04-18_07:26:39.000000,900,98.83237,ReferenceMeteredEvent,1681801899,1681802799
65,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_07:11:39.000000,2023-04-18_07:26:39.000000,900,56.364502,ReferenceMeteredEvent,1681801899,1681802799
66,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_07:26:38.000000,2023-04-18_07:41:39.000000,901,34.575108,CurrentMeteredEvent,1681802798,1681803699
67,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_07:26:39.000000,2023-04-18_07:41:39.000000,900,69.05279,ReferenceMeteredEvent,1681802799,1681803699
67,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_07:26:39.000000,2023-04-18_07:41:39.000000,900,98.83237,ReferenceMeteredEvent,1681802799,1681803699
67,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_07:26:39.000000,2023-04-18_07:41:39.000000,900,56.364502,ReferenceMeteredEvent,1681802799,1681803699
68,0,,,,,2023-04-18_07:41:39.000000,2023-04-18_08:00:00.000000,1101,0,ZeroEmissionEvent,1681803699,1681804800
69,0,,,,,2023-04-18_07:41:39.000000,2023-04-18_08:00:00.000000,1101,0,ZeroEmissionEvent,1681803699,1681804800
19,0,,,,,2023-04-18_08:00:00.000000,2023-04-18_16:28:40.000000,30520,0,ZeroEmissionEvent,1681804800,1681835320
20,0,,,,,2023-04-18_08:00:00.000000,2023-04-18_16:28:40.000000,30520,0,ZeroEmissionEvent,1681804800,1681835320
25,1,4S-43,40.595642,-105.14035,Pre Test,2023-04-18_16:28:40.000000,2023-04-18_16:31:40.000000,180,24.248856,CurrentMeteredEvent,1681835320,1681835500
26,1,4T-31,40.59583,-105.139824,Pre Test,2023-04-18_16:28:40.000000,2023-04-18_16:31:39.000000,179,36.717514,CurrentMeteredEvent,1681835320,1681835499
27,0,,,,,2023-04-18_16:31:39.000000,2023-04-18_16:32:40.000000,61,0,ZeroEmissionEvent,1681835499,1681835560
28,0,,,,,2023-04-18_16:31:40.000000,2023-04-18_16:32:40.000000,60,0,ZeroEmissionEvent,1681835500,1681835560
29,1,4W-27,40.595936,-105.14027,Pre Test,2023-04-18_16:32:40.000000,2023-04-18_16:35:40.000000,180,55.192505,CurrentMeteredEvent,1681835560,1681835740
30,1,5S-26,40.595924,-105.13939,Pre Test,2023-04-18_16:32:40.000000,2023-04-18_16:35:40.000000,180,65.48545,CurrentMeteredEvent,1681835560,1681835740
31,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_16:35:40.000000,2023-04-18_17:05:40.000000,1800,55.192505,ReferenceMeteredEvent,1681835740,1681837540
31,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_16:35:40.000000,2023-04-18_17:05:40.000000,1800,24.248856,ReferenceMeteredEvent,1681835740,1681837540
32,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_16:35:40.000000,2023-04-18_16:50:39.000000,899,36.717514,ReferenceMeteredEvent,1681835740,1681836639
32,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_16:35:40.000000,2023-04-18_16:50:39.000000,899,65.48545,ReferenceMeteredEvent,1681835740,1681836639
33,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_16:50:39.000000,2023-04-18_17:05:39.000000,900,36.717514,ReferenceMeteredEvent,1681836639,1681837539
33,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_16:50:39.000000,2023-04-18_17:05:39.000000,900,65.48545,ReferenceMeteredEvent,1681836639,1681837539
34,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_17:05:39.000000,2023-04-18_17:20:40.000000,901,36.717514,ReferenceMeteredEvent,1681837539,1681838440
34,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_17:05:39.000000,2023-04-18_17:20:40.000000,901,65.48545,ReferenceMeteredEvent,1681837539,1681838440
35,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_17:05:40.000000,2023-04-18_19:05:40.000000,7200,55.192505,ReferenceMeteredEvent,1681837540,1681844740
35,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_17:05:40.000000,2023-04-18_19:05:40.000000,7200,24.248856,ReferenceMeteredEvent,1681837540,1681844740
36,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_17:20:40.000000,2023-04-18_17:35:39.000000,899,36.717514,ReferenceMeteredEvent,1681838440,1681839339
36,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_17:20:40.000000,2023-04-18_17:35:39.000000,899,65.48545,ReferenceMeteredEvent,1681838440,1681839339
37,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_17:35:39.000000,2023-04-18_18:05:39.000000,1800,36.717514,ReferenceMeteredEvent,1681839339,1681841139
37,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_17:35:39.000000,2023-04-18_18:05:39.000000,1800,65.48545,ReferenceMeteredEvent,1681839339,1681841139
38,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_18:05:39.000000,2023-04-18_18:20:39.000000,900,36.717514,ReferenceMeteredEvent,1681841139,1681842039
38,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_18:05:39.000000,2023-04-18_18:20:39.000000,900,65.48545,ReferenceMeteredEvent,1681841139,1681842039
39,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_18:20:39.000000,2023-04-18_19:05:40.000000,2701,36.717514,ReferenceMeteredEvent,1681842039,1681844740
39,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_18:20:39.000000,2023-04-18_19:05:40.000000,2701,65.48545,ReferenceMeteredEvent,1681842039,1681844740
40,0,,,,,2023-04-18_19:05:40.000000,2023-04-18_21:06:07.000000,7227,0,ZeroEmissionEvent,1681844740,1681851967
41,0,,,,,2023-04-18_19:05:40.000000,2023-04-18_21:06:07.000000,7227,0,ZeroEmissionEvent,1681844740,1681851967
42,1,4S-43,40.595642,-105.14035,Pre Test,2023-04-18_21:06:07.000000,2023-04-18_21:09:07.000000,180,24.41452,CurrentMeteredEvent,1681851967,1681852147
43,1,4T-31,40.59583,-105.139824,Pre Test,2023-04-18_21:06:07.000000,2023-04-18_21:09:07.000000,180,36.469128,CurrentMeteredEvent,1681851967,1681852147
44,0,,,,,2023-04-18_21:09:07.000000,2023-04-18_21:10:08.000000,61,0,ZeroEmissionEvent,1681852147,1681852208
45,0,,,,,2023-04-18_21:09:07.000000,2023-04-18_21:10:07.000000,60,0,ZeroEmissionEvent,1681852147,1681852207
46,1,5S-26,40.595924,-105.13939,Pre Test,2023-04-18_21:10:07.000000,2023-04-18_21:11:52.000000,105,62.45852,CurrentMeteredEvent,1681852207,1681852312
47,1,4W-27,40.595936,-105.14027,Pre Test,2023-04-18_21:10:08.000000,2023-04-18_21:11:52.000000,104,56.27126,CurrentMeteredEvent,1681852208,1681852312
48,0,,,,,2023-04-18_21:11:52.000000,2023-04-18_21:12:58.000000,66,0,ZeroEmissionEvent,1681852312,1681852378
49,0,,,,,2023-04-18_21:11:52.000000,2023-04-18_21:12:58.000000,66,0,ZeroEmissionEvent,1681852312,1681852378
50,1,4S-21,40.595665,-105.14027,Pre Test,2023-04-18_21:12:58.000000,2023-04-18_21:15:58.000000,180,33.233807,CurrentMeteredEvent,1681852378,1681852558
51,1,4T-11,40.59575,-105.13989,Pre Test,2023-04-18_21:12:58.000000,2023-04-18_21:15:59.000000,181,65.2169,CurrentMeteredEvent,1681852378,1681852559
53,0,,,,,2023-04-18_21:15:59.000000,2023-04-18_21:16:58.000000,59,0,ZeroEmissionEvent,1681852559,1681852618
52,0,,,,,2023-04-18_21:15:58.000000,2023-04-18_21:23:59.000000,481,0,ZeroEmissionEvent,1681852558,1681853039
54,1,5S-32,40.595943,-105.13943,Pre Test,2023-04-18_21:16:58.000000,2023-04-18_21:19:58.000000,180,54.017662,CurrentMeteredEvent,1681852618,1681852798
55,0,,,,,2023-04-18_21:19:58.000000,2023-04-18_21:20:58.000000,60,0,ZeroEmissionEvent,1681852798,1681852858
56,1,5W-13,40.595615,-105.13942,Pre Test,2023-04-18_21:20:58.000000,2023-04-18_21:23:20.000000,142,85.664505,CurrentMeteredEvent,1681852858,1681853000
57,0,,,,,2023-04-18_21:23:20.000000,2023-04-18_21:23:59.000000,39,0,ZeroEmissionEvent,1681853000,1681853039
58,1,4S-21,40.595665,-105.14027,Fugitive,2023-04-18_21:23:59.000000,2023-04-18_21:38:58.000000,899,33.10873,CurrentMeteredEvent,1681853039,1681853938
59,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_21:23:59.000000,2023-04-18_21:38:58.000000,899,65.2169,ReferenceMeteredEvent,1681853039,1681853938
59,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_21:23:59.000000,2023-04-18_21:38:58.000000,899,85.664505,ReferenceMeteredEvent,1681853039,1681853938
59,3,5S-32,40.595943,-105.13943,Fugitive,2023-04-18_21:23:59.000000,2023-04-18_21:38:58.000000,899,54.017662,ReferenceMeteredEvent,1681853039,1681853938
